lat,lon,hcode,cx,cy
100.108124618,14.2863120143,-1,123,183
100.108124618,14.2830245069,-1,123,194
100.108124618,14.2797369994,-1,123,205
100.108124618,14.2764494919,-1,123,216
100.108124618,14.2731619845,-1,123,227
100.108124618,14.269874477,-1,123,238
100.108124618,14.2665869695,-1,123,249
100.108124618,14.263299462,-1,123,260
100.108124618,14.2600119546,-1,123,271
100.108124618,14.2567244471,-1,123,282
100.108124618,14.2534369396,-1,123,293
100.108124618,14.2501494322,-1,123,304
100.108124618,14.2468619247,-1,123,315
100.108124618,14.2435744172,-1,123,326
100.108124618,14.2402869097,-1,123,337
100.108124618,14.2369994023,-1,123,348
100.108124618,14.2337118948,-1,123,359
100.108124618,14.2304243873,-1,123,370
100.108124618,14.2271368799,-1,123,381
100.108124618,14.2238493724,-1,123,392
100.108124618,14.2205618649,-1,123,403
100.108124618,14.2172743574,-1,123,414
100.108124618,14.21398685,-1,123,425
100.108124618,14.2106993425,-1,123,436
100.108124618,14.207411835,-1,123,447
100.108124618,14.2041243276,-1,123,458
100.108124618,14.2008368201,-1,123,469
100.108124618,14.1975493126,-1,123,480
100.108124618,14.1942618051,-1,123,491
100.108124618,14.1909742977,-1,123,502
100.108124618,14.1876867902,-1,123,513
100.108124618,14.1843992827,-1,123,524
100.108124618,14.1811117753,-1,123,535
100.108124618,14.1778242678,-1,123,546
100.108124618,14.1745367603,-1,123,557
100.108124618,14.1712492528,4,123,568
100.108124618,14.1679617454,4,123,579
100.108124618,14.1646742379,4,123,590
100.108124618,14.1613867304,4,123,601
100.108124618,14.158099223,4,123,612
100.108124618,14.1548117155,4,123,623
100.108124618,14.151524208,4,123,634
100.108124618,14.1482367005,5,123,645
100.108124618,14.1449491931,5,123,656
100.108124618,14.1416616856,6,123,667
100.108124618,14.1383741781,-1,123,678
100.108124618,14.1350866707,-1,123,689
100.108124618,14.1317991632,-1,123,700
100.108124618,14.1285116557,-1,123,711
100.108124618,14.1252241482,-1,123,722
100.108124618,14.1219366408,-1,123,733
100.108124618,14.1186491333,-1,123,744
100.108124618,14.1153616258,-1,123,755
100.108124618,14.1120741184,-1,123,766
100.108124618,14.1087866109,-1,123,777
100.108124618,14.1054991034,-1,123,788
100.108124618,14.1022115959,-1,123,799
100.108124618,14.0989240885,-1,123,810
100.108124618,14.095636581,-1,123,821
100.108124618,14.0923490735,-1,123,832
100.108124618,14.089061566,-1,123,843
100.108124618,14.0857740586,-1,123,854
100.108124618,14.0824865511,-1,123,865
100.108124618,14.0791990436,-1,123,876
100.108124618,14.0759115362,-1,123,887
100.108124618,14.0726240287,-1,123,898
100.108124618,14.0693365212,-1,123,909
100.108124618,14.0660490137,-1,123,920
100.108124618,14.0627615063,-1,123,931
100.108124618,14.0594739988,-1,123,942
100.108124618,14.0561864913,-1,123,953
100.108124618,14.0528989839,-1,123,964
100.108124618,14.0496114764,-1,123,975
100.108124618,14.0463239689,-1,123,986
100.108124618,14.0430364614,-1,123,997
100.108124618,14.039748954,-1,123,1008
100.108124618,14.0364614465,-1,123,1019
100.108124618,14.033173939,-1,123,1030
100.108124618,14.0298864316,-1,123,1041
100.108124618,14.0265989241,-1,123,1052
100.108124618,14.0233114166,-1,123,1063
100.108124618,14.0200239091,-1,123,1074
100.108124618,14.0167364017,-1,123,1085
